time,open,high,low,close,volume
2026-01-04T23:00:00Z,48328.993,48390.494,48328.993,48354.994,974.0
2026-01-04T23:05:00Z,48354.994,48359.494,48333.993,48343.143,435.0
2026-01-04T23:10:00Z,48343.143,48356.494,48318.993,48334.993,307.0
2026-01-04T23:15:00Z,48334.993,48352.494,48334.493,48338.493,373.0
2026-01-04T23:20:00Z,48338.493,48357.494,48336.993,48350.994,453.0
2026-01-04T23:25:00Z,48350.994,48360.994,48348.493,48351.994,418.0
2026-01-04T23:30:00Z,48351.994,48352.994,48314.993,48332.493,659.0
2026-01-04T23:35:00Z,48332.493,48344.993,48330.493,48338.493,438.0
2026-01-04T23:40:00Z,48338.493,48339.993,48327.493,48330.493,412.0
2026-01-04T23:45:00Z,48330.493,48332.993,48312.993,48326.993,795.0
2026-01-04T23:50:00Z,48326.993,48346.493,48326.493,48334.493,654.0
2026-01-04T23:55:00Z,48334.493,48347.993,48333.493,48343.493,438.0
2026-01-05T00:00:00Z,48343.493,48348.993,48326.493,48343.493,916.0
2026-01-05T00:05:00Z,48343.493,48345.993,48316.993,48323.993,1006.0
2026-01-05T00:10:00Z,48323.993,48326.993,48313.993,48321.493,683.0
2026-01-05T00:15:00Z,48321.493,48343.993,48319.493,48333.993,683.0
2026-01-05T00:20:00Z,48333.993,48354.494,48333.993,48352.994,510.0
2026-01-05T00:25:00Z,48352.994,48355.994,48344.493,48351.994,455.0
2026-01-05T00:30:00Z,48351.994,48355.494,48345.993,48351.994,485.0
2026-01-05T00:35:00Z,48351.994,48352.494,48324.993,48332.493,598.0
2026-01-05T00:40:00Z,48332.493,48338.493,48325.993,48336.993,554.0
2026-01-05T00:45:00Z,48336.993,48346.493,48335.993,48342.993,656.0
2026-01-05T00:50:00Z,48342.993,48350.994,48338.993,48345.993,444.0
2026-01-05T00:55:00Z,48345.993,48355.494,48343.493,48351.994,351.0
2026-01-05T01:00:00Z,48351.994,48370.994,48336.993,48338.993,991.0
2026-01-05T01:05:00Z,48338.993,48347.993,48329.493,48337.993,885.0
2026-01-05T01:10:00Z,48337.993,48341.993,48325.493,48331.993,695.0
2026-01-05T01:15:00Z,48331.993,48333.493,48315.493,48318.993,582.0
2026-01-05T01:20:00Z,48318.993,48319.993,48305.993,48313.993,480.0
2026-01-05T01:25:00Z,48313.993,48330.993,48307.493,48329.493,355.0
2026-01-05T01:30:00Z,48329.493,48329.493,48314.993,48324.993,379.0
2026-01-05T01:35:00Z,48324.993,48344.993,48322.993,48340.493,423.0
2026-01-05T01:40:00Z,48340.493,48341.993,48332.493,48338.993,377.0
2026-01-05T01:45:00Z,48338.993,48344.493,48330.493,48340.993,559.0
2026-01-05T01:50:00Z,48340.993,48352.994,48336.993,48345.993,609.0
2026-01-05T01:55:00Z,48345.993,48348.993,48336.993,48338.993,412.0
2026-01-05T02:00:00Z,48338.993,48358.494,48338.993,48357.494,467.0
2026-01-05T02:05:00Z,48357.494,48360.494,48351.994,48357.994,309.0
2026-01-05T02:10:00Z,48357.994,48359.994,48349.993,48351.494,214.0
2026-01-05T02:15:00Z,48351.494,48357.994,48348.993,48353.994,216.0
2026-01-05T02:20:00Z,48353.994,48358.994,48348.993,48354.994,215.0
2026-01-05T02:25:00Z,48354.994,48355.994,48348.493,48353.494,188.0
2026-01-05T02:30:00Z,48353.494,48358.994,48351.994,48356.994,221.0
2026-01-05T02:35:00Z,48356.994,48357.994,48347.993,48357.494,213.0
2026-01-05T02:40:00Z,48357.494,48363.994,48352.494,48362.994,200.0
2026-01-05T02:45:00Z,48362.994,48376.994,48361.494,48376.994,213.0
2026-01-05T02:50:00Z,48376.994,48376.994,48367.994,48370.994,191.0
2026-01-05T02:55:00Z,48370.994,48372.994,48365.994,48366.994,187.0
2026-01-05T03:00:00Z,48366.994,48366.994,48359.994,48362.494,214.0
2026-01-05T03:05:00Z,48362.494,48365.994,48358.994,48363.494,192.0
2026-01-05T03:10:00Z,48363.494,48363.994,48358.994,48359.994,119.0
2026-01-05T03:15:00Z,48359.994,48359.994,48349.993,48354.994,135.0
2026-01-05T03:20:00Z,48354.994,48357.994,48350.994,48352.494,154.0
2026-01-05T03:25:00Z,48352.494,48353.494,48347.993,48349.993,124.0
2026-01-05T03:30:00Z,48349.993,48349.993,48343.493,48345.993,164.0
2026-01-05T03:35:00Z,48345.993,48348.993,48340.993,48348.993,111.0
2026-01-05T03:40:00Z,48348.993,48348.993,48339.993,48340.493,176.0
2026-01-05T03:45:00Z,48340.493,48344.493,48334.993,48340.993,176.0
2026-01-05T03:50:00Z,48340.993,48341.993,48329.493,48332.993,160.0
2026-01-05T03:55:00Z,48332.993,48335.993,48322.493,48322.993,164.0
2026-01-05T04:00:00Z,48322.993,48323.993,48317.993,48320.993,192.0
2026-01-05T04:05:00Z,48320.993,48325.993,48320.993,48325.993,139.0
2026-01-05T04:10:00Z,48325.993,48327.493,48323.993,48325.993,100.0
2026-01-05T04:15:00Z,48325.993,48334.993,48322.993,48333.993,177.0
2026-01-05T04:20:00Z,48333.993,48341.993,48333.993,48336.993,113.0
2026-01-05T04:25:00Z,48336.993,48339.493,48331.993,48335.993,100.0
2026-01-05T04:30:00Z,48335.993,48342.993,48334.993,48340.993,134.0
2026-01-05T04:35:00Z,48340.993,48352.994,48339.993,48345.993,141.0
2026-01-05T04:40:00Z,48345.993,48361.494,48345.993,48361.494,146.0
2026-01-05T04:45:00Z,48361.494,48366.994,48361.494,48365.994,160.0
2026-01-05T04:50:00Z,48365.994,48369.494,48365.994,48368.994,107.0
2026-01-05T04:55:00Z,48368.994,48372.994,48363.994,48364.994,151.0
