datetime,open,high,low,close,volume
2026-08-26T16:45:00,4604.97,4609.39,4604.62,4608.4,1622
2026-08-26T16:50:00,4608.39,4608.68,4598.53,4600.36,2123
2026-08-26T16:55:00,4600.47,4604.15,4596.21,4596.57,1877
2026-08-26T17:00:00,4596.23,4599.14,4590.62,4596.37,1826
2026-08-26T17:05:00,4597.47,4601.57,4596.95,4600.605,1152
2026-08-26T17:10:00,4599.59,4600.06,4597.26,4598.77,1305
